id,type,name
AR,state,Arkansas
AR001,county,Arkansas
AR003,county,Ashley
AR005,county,Baxter
AR007,county,Benton
AR009,county,Boone
AR011,county,Bradley
AR013,county,Calhoun
AR015,county,Carroll
AR017,county,Chicot
AR019,county,Clark
AR021,county,Clay
AR023,county,Cleburne
AR025,county,Cleveland
AR027,county,Columbia
AR029,county,Conway
AR031,county,Craighead
AR033,county,Crawford
AR035,county,Crittenden
AR037,county,Cross
AR039,county,Dallas
AR041,county,Desha
AR043,county,Drew
AR045,county,Faulkner
AR047,county,Franklin
AR049,county,Fulton
AR051,county,Garland
AR053,county,Grant
AR055,county,Greene
AR057,county,Hempstead
AR059,county,Hot Spring
AR061,county,Howard
AR063,county,Independence
AR065,county,Izard
AR067,county,Jackson
AR069,county,Jefferson
AR071,county,Johnson
AR073,county,Lafayette
AR075,county,Lawrence
AR077,county,Lee
AR079,county,Lincoln
AR081,county,Little River
AR083,county,Logan
AR085,county,Lonoke
AR087,county,Madison
AR089,county,Marion
AR091,county,Miller
AR093,county,Mississippi
AR095,county,Monroe
AR097,county,Montgomery
AR099,county,Nevada
AR101,county,Newton
AR103,county,Ouachita
AR105,county,Perry
AR107,county,Phillips
AR109,county,Pike
AR111,county,Poinsett
AR113,county,Polk
AR115,county,Pope
AR117,county,Prairie
AR119,county,Pulaski
AR121,county,Randolph
AR123,county,St. Francis
AR125,county,Saline
AR127,county,Scott
AR129,county,Searcy
AR131,county,Sebastian
AR133,county,Sevier
AR135,county,Sharp
AR137,county,Stone
AR139,county,Union
AR141,county,Van Buren
AR143,county,Washington
AR145,county,White
AR147,county,Woodruff
AR149,county,Yell
