measure_id,filter_id,start_year,end_year,location_id,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average
25,1,2009,2015,CT,5126.0,8191.0,62.5809,5,0.061,OK,,,,,,,
25,1,2009,2015,CT001,1175.0,1908.0,61.5828,1,0.0524,OK,,,,,,,
25,1,2009,2015,CT003,1380.0,2156.0,64.0074,4,0.1852,OK,,,,,,,
25,1,2009,2015,CT005,147.0,220.0,66.8182,0,0.0,OK,,,,,,,
25,1,2009,2015,CT007,113.0,205.0,55.122,0,0.0,OK,,,,,,,
25,1,2009,2015,CT009,1463.0,2530.0,57.8261,0,0.0,OK,,,,,,,
25,1,2009,2015,CT011,455.0,649.0,70.1079,0,0.0,OK,,,,,,,
25,1,2009,2015,CT013,217.0,266.0,81.5789,0,0.0,OK,,,,,,,
25,1,2009,2015,CT015,176.0,257.0,68.4825,0,0.0,OK,,,,,,,
25,10,2009,2015,CT,2264.0,3613.0,62.6626,1,0.0277,OK,,,,,,,
25,10,2009,2015,CT001,413.0,677.0,61.0044,0,0.0,OK,,,,,,,
25,10,2009,2015,CT003,517.0,842.0,61.4014,1,0.1186,OK,,,,,,,
25,10,2009,2015,CT005,110.0,166.0,66.2651,0,0.0,OK,,,,,,,
25,10,2009,2015,CT007,79.0,129.0,61.2403,0,0.0,OK,,,,,,,
25,10,2009,2015,CT009,593.0,1031.0,57.517,0,0.0,OK,,,,,,,
25,10,2009,2015,CT011,274.0,397.0,69.0176,0,0.0,OK,,,,,,,
25,10,2009,2015,CT013,158.0,194.0,81.4433,0,0.0,OK,,,,,,,
25,10,2009,2015,CT015,120.0,177.0,67.7966,0,0.0,OK,,,,,,,
25,15,2009,2015,CT,2792.0,4465.0,62.5308,4,0.0895,OK,,,,,,,
25,15,2009,2015,CT001,744.0,1204.0,61.794,1,0.083,OK,,,,,,,
25,15,2009,2015,CT003,855.0,1299.0,65.8199,3,0.2304,OK,,,,,,,
25,15,2009,2015,CT005,35.0,48.0,72.9167,0,0.0,OK,,,,,,,
25,15,2009,2015,CT007,32.0,72.0,44.4444,0,0.0,OK,,,,,,,
25,15,2009,2015,CT009,844.0,1460.0,57.8082,0,0.0,OK,,,,,,,
25,15,2009,2015,CT011,173.0,242.0,71.4876,0,0.0,OK,,,,,,,
25,15,2009,2015,CT013,55.0,64.0,85.9375,0,0.0,OK,,,,,,,
25,15,2009,2015,CT015,54.0,76.0,71.0526,0,0.0,OK,,,,,,,
25,16,2009,2015,CT,70.0,113.0,61.9469,0,0.0,OK,,,,,,,
25,16,2009,2015,CT001,18.0,27.0,66.6667,0,0.0,OK,,,,,,,
25,16,2009,2015,CT003,8.0,15.0,53.3333,0,0.0,OK,,,,,,,
25,16,2009,2015,CT005,2.0,6.0,33.3333,0,0.0,OK,,,,,,,
25,16,2009,2015,CT007,2.0,4.0,50.0,0,0.0,INSUFFICIENT_DATA_FILT,,,,,,,
25,16,2009,2015,CT009,26.0,39.0,66.6667,0,0.0,OK,,,,,,,
25,16,2009,2015,CT011,8.0,10.0,80.0,0,0.0,OK,,,,,,,
25,16,2009,2015,CT013,4.0,8.0,50.0,0,0.0,OK,,,,,,,
25,16,2009,2015,CT015,2.0,4.0,50.0,0,0.0,INSUFFICIENT_DATA_FILT,,,,,,,
25,11,2009,2015,CT,1562.0,2570.0,60.7782,3,0.1166,OK,,,,,,,
25,11,2009,2015,CT001,436.0,711.0,61.3221,1,0.1404,OK,,,,,,,
25,11,2009,2015,CT003,375.0,583.0,64.3225,2,0.3419,OK,,,,,,,
25,11,2009,2015,CT005,20.0,25.0,80.0,0,0.0,OK,,,,,,,
25,11,2009,2015,CT007,15.0,44.0,34.0909,0,0.0,OK,,,,,,,
25,11,2009,2015,CT009,557.0,984.0,56.6057,0,0.0,OK,,,,,,,
25,11,2009,2015,CT011,103.0,155.0,66.4516,0,0.0,OK,,,,,,,
25,11,2009,2015,CT013,34.0,38.0,89.4737,0,0.0,OK,,,,,,,
25,11,2009,2015,CT015,22.0,30.0,73.3333,0,0.0,OK,,,,,,,
25,12,2009,2015,CT,1214.0,1864.0,65.1288,1,0.0536,OK,,,,,,,
25,12,2009,2015,CT001,304.0,482.0,63.0705,0,0.0,OK,,,,,,,
25,12,2009,2015,CT003,474.0,706.0,67.1388,1,0.1414,OK,,,,,,,
25,12,2009,2015,CT005,15.0,22.0,68.1818,0,0.0,OK,,,,,,,
25,12,2009,2015,CT007,16.0,27.0,59.2593,0,0.0,OK,,,,,,,
25,12,2009,2015,CT009,283.0,471.0,60.0849,0,0.0,OK,,,,,,,
25,12,2009,2015,CT011,69.0,84.0,82.1429,0,0.0,OK,,,,,,,
25,12,2009,2015,CT013,21.0,26.0,80.7692,0,0.0,OK,,,,,,,
25,12,2009,2015,CT015,32.0,46.0,69.5652,0,0.0,OK,,,,,,,
25,13,2009,2015,CT,13.0,21.0,61.9048,0,0.0,OK,,,,,,,
25,13,2009,2015,CT001,3.0,6.0,50.0,0,0.0,OK,,,,,,,
25,13,2009,2015,CT003,4.0,5.0,80.0,0,0.0,OK,,,,,,,
25,13,2009,2015,CT005,0.0,1.0,0.0,0,0.0,INSUFFICIENT_DATA_FILT,,,,,,,
25,13,2009,2015,CT007,1.0,1.0,100.0,0,0.0,INSUFFICIENT_DATA_FILT,,,,,,,
25,13,2009,2015,CT009,4.0,5.0,80.0,0,0.0,OK,,,,,,,
25,13,2009,2015,CT011,1.0,3.0,33.3333,0,0.0,INSUFFICIENT_DATA_FILT,,,,,,,
25,13,2009,2015,CT013,0.0,0.0,,0,,NO_DATA,,,,,,,
25,13,2009,2015,CT015,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT,3.0,10.0,30.0,0,0.0,OK,,,,,,,
25,14,2009,2015,CT001,1.0,5.0,20.0,0,0.0,OK,,,,,,,
25,14,2009,2015,CT003,2.0,5.0,40.0,0,0.0,OK,,,,,,,
25,14,2009,2015,CT005,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT007,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT009,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT011,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT013,0.0,0.0,,0,,NO_DATA,,,,,,,
25,14,2009,2015,CT015,0.0,0.0,,0,,NO_DATA,,,,,,,
25,30,2009,2015,CT,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT001,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT003,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT005,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT007,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT009,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT011,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT013,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,30,2009,2015,CT015,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT001,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT003,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT005,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT007,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT009,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT011,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT013,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,31,2009,2015,CT015,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,32,2009,2015,CT,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,32,2009,2015,CT001,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,32,2009,2015,CT003,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,32,2009,2015,CT005,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,32,2009,2015,CT007,,,,,,NOT_AVAILABLE_YET,,,,,,,
