measure_id,filter_id,start_year,end_year,location_id,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average
25,1,2009,2015,MO,4867.0,19176.0,25.3807,710,3.5704,OK,,,,,,,
25,1,2009,2015,MO001,24.0,61.0,39.3443,1,1.6129,OK,,,,,,,
25,1,2009,2015,MO003,15.0,54.0,27.7778,0,0.0,OK,,,,,,,
25,1,2009,2015,MO005,4.0,19.0,21.0526,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
25,1,2009,2015,MO007,23.0,118.0,19.4915,0,0.0,OK,,,,,,,
25,1,2009,2015,MO009,34.0,152.0,22.3684,28,15.5556,EXCEEDS_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO011,7.0,40.0,17.5,5,11.1111,EXCEEDS_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO013,17.0,101.0,16.8317,1,0.9804,OK,,,,,,,
25,1,2009,2015,MO015,21.0,96.0,21.875,2,2.0408,OK,,,,,,,
25,1,2009,2015,MO017,5.0,46.0,10.8696,0,0.0,OK,,,,,,,
25,1,2009,2015,MO019,102.0,384.0,26.5625,16,4.0,OK,,,,,,,
25,1,2009,2015,MO021,156.0,482.0,32.3651,41,7.8394,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO023,90.0,259.0,34.749,10,3.7175,OK,,,,,,,
25,1,2009,2015,MO025,20.0,41.0,48.7805,3,6.8182,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO027,36.0,138.0,26.087,6,4.1667,OK,,,,,,,
25,1,2009,2015,MO029,43.0,162.0,26.5432,14,7.9545,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO031,81.0,336.0,24.1071,0,0.0,OK,,,,,,,
25,1,2009,2015,MO033,3.0,39.0,7.6923,0,0.0,OK,,,,,,,
25,1,2009,2015,MO035,0.0,7.0,0.0,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
25,1,2009,2015,MO037,82.0,291.0,28.1787,3,1.0204,OK,,,,,,,
25,1,2009,2015,MO039,10.0,49.0,20.4082,0,0.0,OK,,,,,,,
25,1,2009,2015,MO041,4.0,22.0,18.1818,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
25,1,2009,2015,MO043,38.0,204.0,18.6275,31,13.1915,EXCEEDS_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO045,5.0,31.0,16.129,3,8.8235,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO047,139.0,414.0,33.5749,4,0.9569,OK,,,,,,,
25,1,2009,2015,MO049,33.0,64.0,51.5625,0,0.0,OK,,,,,,,
25,1,2009,2015,MO051,70.0,281.0,24.911,17,5.7047,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO053,37.0,125.0,29.6,0,0.0,OK,,,,,,,
25,1,2009,2015,MO055,43.0,176.0,24.4318,0,0.0,OK,,,,,,,
25,1,2009,2015,MO057,2.0,13.0,15.3846,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
25,1,2009,2015,MO059,31.0,67.0,46.2687,2,2.8986,OK,,,,,,,
25,1,2009,2015,MO061,21.0,49.0,42.8571,0,0.0,OK,,,,,,,
25,1,2009,2015,MO063,54.0,75.0,72.0,9,10.7143,EXCEEDS_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO065,12.0,70.0,17.1429,2,2.7778,OK,,,,,,,
25,1,2009,2015,MO067,15.0,63.0,23.8095,0,0.0,OK,,,,,,,
25,1,2009,2015,MO069,87.0,307.0,28.3388,1,0.3247,OK,,,,,,,
25,1,2009,2015,MO071,39.0,212.0,18.3962,15,6.6079,HIGH_MISSING_UNFILT,,,,,,,
25,1,2009,2015,MO073,5.0,35.0,14.2857,0,0.0,OK,,,,,,,
25,1,2009,2015,MO075,2.0,11.0,18.1818,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
25,1,2009,2015,MO077,,,,,,NOT_AVAILABLE_YET,,,,,,,
25,1,2009,2015,MO079,7.0,35.0,20.0,1,2.7778,OK,,,,,,,
