id,type,name
MO,state,Missouri
MO001,county,Adair
MO003,county,Andrew
MO005,county,Atchison
MO007,county,Audrain
MO009,county,Barry
MO011,county,Barton
MO013,county,Bates
MO015,county,Benton
MO017,county,Bollinger
MO019,county,Boone
MO021,county,Buchanan
MO023,county,Butler
MO025,county,Caldwell
MO027,county,Callaway
MO029,county,Camden
MO031,county,Cape Girardeau
MO033,county,Carroll
MO035,county,Carter
MO037,county,Cass
MO039,county,Cedar
MO041,county,Chariton
MO043,county,Christian
MO045,county,Clark
MO047,county,Clay
MO049,county,Clinton
MO051,county,Cole
MO053,county,Cooper
MO055,county,Crawford
MO057,county,Dade
MO059,county,Dallas
MO061,county,Daviess
MO063,county,DeKalb
MO065,county,Dent
MO067,county,Douglas
MO069,county,Dunklin
MO071,county,Franklin
MO073,county,Gasconade
MO075,county,Gentry
MO077,county,Greene
MO079,county,Grundy
MO081,county,Harrison
MO083,county,Henry
MO085,county,Hickory
MO087,county,Holt
MO089,county,Howard
MO091,county,Howell
MO093,county,Iron
MO095,county,Jackson
MO097,county,Jasper
MO099,county,Jefferson
MO101,county,Johnson
MO103,county,Knox
MO105,county,Laclede
MO107,county,Lafayette
MO109,county,Lawrence
MO111,county,Lewis
MO113,county,Lincoln
MO115,county,Linn
MO117,county,Livingston
MO119,county,McDonald
MO121,county,Macon
MO123,county,Madison
MO125,county,Maries
MO127,county,Marion
MO129,county,Mercer
MO131,county,Miller
MO133,county,Mississippi
MO135,county,Moniteau
MO137,county,Monroe
MO139,county,Montgomery
MO141,county,Morgan
MO143,county,New Madrid
MO145,county,Newton
MO147,county,Nodaway
MO149,county,Oregon
MO151,county,Osage
MO153,county,Ozark
MO155,county,Pemiscot
MO157,county,Perry
MO159,county,Pettis
MO161,county,Phelps
MO163,county,Pike
MO165,county,Platte
MO167,county,Polk
MO169,county,Pulaski
MO171,county,Putnam
MO173,county,Ralls
MO175,county,Randolph
MO177,county,Ray
MO179,county,Reynolds
MO181,county,Ripley
MO183,county,St. Charles
MO185,county,St. Clair
MO186,county,Ste. Genevieve
MO187,county,St. Francois
MO189,county,St. Louis
MO195,county,Saline
MO197,county,Schuyler
MO199,county,Scotland
MO201,county,Scott
MO203,county,Shannon
MO205,county,Shelby
MO207,county,Stoddard
MO209,county,Stone
MO211,county,Sullivan
MO213,county,Taney
MO215,county,Texas
MO217,county,Vernon
MO219,county,Warren
MO221,county,Washington
MO223,county,Wayne
MO225,county,Webster
MO227,county,Worth
MO229,county,Wright
MO510,county,St. Louis City
