id,type,name
NY,state,New York
NY001,county,Albany
NY003,county,Allegany
NY005,county,Bronx
NY007,county,Broome
NY009,county,Cattaraugus
NY011,county,Cayuga
NY013,county,Chautauqua
NY015,county,Chemung
NY017,county,Chenango
NY019,county,Clinton
NY021,county,Columbia
NY023,county,Cortland
NY025,county,Delaware
NY027,county,Dutchess
NY029,county,Erie
NY031,county,Essex
NY033,county,Franklin
NY035,county,Fulton
NY037,county,Genesee
NY039,county,Greene
NY041,county,Hamilton
NY043,county,Herkimer
NY045,county,Jefferson
NY047,county,Kings
NY049,county,Lewis
NY051,county,Livingston
NY053,county,Madison
NY055,county,Monroe
NY057,county,Montgomery
NY059,county,Nassau
NY061,county,New York
NY063,county,Niagara
NY065,county,Oneida
NY067,county,Onondaga
NY069,county,Ontario
NY071,county,Orange
NY073,county,Orleans
NY075,county,Oswego
NY077,county,Otsego
NY079,county,Putnam
NY081,county,Queens
NY083,county,Rensselaer
NY085,county,Richmond
NY087,county,Rockland
NY089,county,St. Lawrence
NY091,county,Saratoga
NY093,county,Schenectady
NY095,county,Schoharie
NY097,county,Schuyler
NY099,county,Seneca
NY101,county,Steuben
NY103,county,Suffolk
NY105,county,Sullivan
NY107,county,Tioga
NY109,county,Tompkins
NY111,county,Ulster
NY113,county,Warren
NY115,county,Washington
NY117,county,Wayne
NY119,county,Westchester
NY121,county,Wyoming
NY123,county,Yates
