measure_id,filter_id,start_year,end_year,location_id,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average
10,1,2009,2015,OR,542.0,71393.0,0.7592,0,0.0,OK,,,,,,,
10,1,2009,2015,OR001,11.0,406.0,2.7094,0,0.0,OK,,,,,,,
10,1,2009,2015,OR003,23.0,1986.0,1.1581,0,0.0,OK,,,,,,,
10,1,2009,2015,OR005,26.0,5706.0,0.4557,0,0.0,OK,,,,,,,
10,1,2009,2015,OR007,13.0,1055.0,1.2322,0,0.0,OK,,,,,,,
10,1,2009,2015,OR009,7.0,610.0,1.1475,0,0.0,OK,,,,,,,
10,1,2009,2015,OR011,3.0,1376.0,0.218,0,0.0,OK,,,,,,,
10,1,2009,2015,OR013,11.0,683.0,1.6105,0,0.0,OK,,,,,,,
10,1,2009,2015,OR015,6.0,651.0,0.9217,0,0.0,OK,,,,,,,
10,1,2009,2015,OR017,0.0,4472.0,0.0,0,0.0,OK,,,,,,,
10,1,2009,2015,OR019,74.0,1549.0,4.7773,0,0.0,OK,,,,,,,
10,1,2009,2015,OR021,1.0,29.0,3.4483,0,0.0,INSUFFICIENT_DATA_UNFILT,,,,,,,
10,1,2009,2015,OR023,2.0,156.0,1.2821,0,0.0,OK,,,,,,,
10,1,2009,2015,OR025,0.0,206.0,0.0,0,0.0,OK,,,,,,,
10,1,2009,2015,OR027,13.0,804.0,1.6169,0,0.0,OK,,,,,,,
10,1,2009,2015,OR029,63.0,4934.0,1.2769,0,0.0,OK,,,,,,,
10,1,2009,2015,OR031,11.0,581.0,1.8933,0,0.0,OK,,,,,,,
10,1,2009,2015,OR033,13.0,1300.0,1.0,0,0.0,OK,,,,,,,
10,1,2009,2015,OR035,28.0,2451.0,1.1424,0,0.0,OK,,,,,,,
10,1,2009,2015,OR037,15.0,286.0,5.2448,0,0.0,OK,,,,,,,
10,1,2009,2015,OR039,16.0,2307.0,0.6935,0,0.0,OK,,,,,,,
10,1,2009,2015,OR041,15.0,1694.0,0.8855,0,0.0,OK,,,,,,,
10,1,2009,2015,OR043,21.0,1498.0,1.4019,0,0.0,OK,,,,,,,
10,1,2009,2015,OR045,13.0,698.0,1.8625,0,0.0,OK,,,,,,,
10,1,2009,2015,OR047,37.0,4756.0,0.778,0,0.0,OK,,,,,,,
10,1,2009,2015,OR049,0.0,32.0,0.0,0,0.0,OK,,,,,,,
10,1,2009,2015,OR051,9.0,16670.0,0.054,0,0.0,OK,,,,,,,
