id,type,name
SD,state,South Dakota
SD003,county,Aurora
SD005,county,Beadle
SD007,county,Bennett
SD009,county,Bon Homme
SD011,county,Brookings
SD013,county,Brown
SD015,county,Brule
SD017,county,Buffalo
SD019,county,Butte
SD021,county,Campbell
SD023,county,Charles Mix
SD025,county,Clark
SD027,county,Clay
SD029,county,Codington
SD031,county,Corson
SD033,county,Custer
SD035,county,Davison
SD037,county,Day
SD039,county,Deuel
SD041,county,Dewey
SD043,county,Douglas
SD045,county,Edmunds
SD047,county,Fall River
SD049,county,Faulk
SD051,county,Grant
SD053,county,Gregory
SD055,county,Haakon
SD057,county,Hamlin
SD059,county,Hand
SD061,county,Hanson
SD063,county,Harding
SD065,county,Hughes
SD067,county,Hutchinson
SD069,county,Hyde
SD071,county,Jackson
SD073,county,Jerauld
SD075,county,Jones
SD077,county,Kingsbury
SD079,county,Lake
SD081,county,Lawrence
SD083,county,Lincoln
SD085,county,Lyman
SD087,county,McCook
SD089,county,McPherson
SD091,county,Marshall
SD093,county,Meade
SD095,county,Mellette
SD097,county,Miner
SD099,county,Minnehaha
SD101,county,Moody
SD102,county,Oglala Lakota
SD103,county,Pennington
SD105,county,Perkins
SD107,county,Potter
SD109,county,Roberts
SD111,county,Sanborn
SD113,county,Shannon
SD115,county,Spink
SD117,county,Stanley
SD119,county,Sully
SD121,county,Todd
SD123,county,Tripp
SD125,county,Turner
SD127,county,Union
SD129,county,Walworth
SD135,county,Yankton
SD137,county,Ziebach
