id,type,name
WI,state,Wisconsin
WI001,county,Adams
WI003,county,Ashland
WI005,county,Barron
WI007,county,Bayfield
WI009,county,Brown
WI011,county,Buffalo
WI013,county,Burnett
WI015,county,Calumet
WI017,county,Chippewa
WI019,county,Clark
WI021,county,Columbia
WI023,county,Crawford
WI025,county,Dane
WI027,county,Dodge
WI029,county,Door
WI031,county,Douglas
WI033,county,Dunn
WI035,county,Eau Claire
WI037,county,Florence
WI039,county,Fond du Lac
WI041,county,Forest
WI043,county,Grant
WI045,county,Green
WI047,county,Green Lake
WI049,county,Iowa
WI051,county,Iron
WI053,county,Jackson
WI055,county,Jefferson
WI057,county,Juneau
WI059,county,Kenosha
WI061,county,Kewaunee
WI063,county,La Crosse
WI065,county,Lafayette
WI067,county,Langlade
WI069,county,Lincoln
WI071,county,Manitowoc
WI073,county,Marathon
WI075,county,Marinette
WI077,county,Marquette
WI078,county,Menominee
WI079,county,Milwaukee
WI081,county,Monroe
WI083,county,Oconto
WI085,county,Oneida
WI087,county,Outagamie
WI089,county,Ozaukee
WI091,county,Pepin
WI093,county,Pierce
WI095,county,Polk
WI097,county,Portage
WI099,county,Price
WI101,county,Racine
WI103,county,Richland
WI105,county,Rock
WI107,county,Rusk
WI109,county,Saint Croix
WI111,county,Sauk
WI113,county,Sawyer
WI115,county,Shawano
WI117,county,Sheboygan
WI119,county,Taylor
WI121,county,Trempealeau
WI123,county,Vernon
WI125,county,Vilas
WI127,county,Walworth
WI129,county,Washburn
WI131,county,Washington
WI133,county,Waukesha
WI135,county,Waupaca
WI137,county,Waushara
WI139,county,Winnebago
WI141,county,Wood
